# AUTHOR: C.J. Walcher
# SOURCE: CALIFA Collaboration 
# DATE: 2011-09-30
# VERSION: 1.0 
# COLAPRV: None
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: CALIFAName, string, , Internal name of the CALIFA galaxy
# COLUMN3: Name, string, , NED name of the galaxy 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
187, CALIFA187, UGC04308, 124.35749816, 21.68548583, S, c, S, bc, S, d, B, B, B, I, I, I
188, CALIFA188, NGC2553, 124.39582824, 20.90306282, S, b, S, 0a, S, d, AB, A, B, I, I, M
189, CALIFA189, NGC2554, 124.47294616, 23.47218322, S, 0a, S, 0, S, b, A, A, A, I, I, M
190, CALIFA190, UGC04262, 124.76158905, 83.26646423, S, bc, S, ab, S, cd, AB, A, B, I, I, I
191, CALIFA191, NGC2558, 124.80316925, 20.51072692, S, b, S, ab, S, c, AB, A, B, I, I, I
192, CALIFA192, NGC2565, 124.95125579, 22.03144645, S, b, S, ab, S, c, B, A, B, I, I, I
193, CALIFA193, UGC04323, 125.08287048, 66.98205566, E, 5, E, 3, S, 0, A, A, A, I, I, I
194, CALIFA194, NGC2572, 125.35262298, 19.14777755, S, a, S, 0, S, b, AB, A, B, I, I, I
195, CALIFA195, NGC2577, 125.68102264, 22.55306816, E, 7, E, 5, S, 0, A, A, A, I, I, I
196, CALIFA196, UGC04375, 125.79684448, 22.66464996, S, bc, S, a, S, c, A, A, A, I, I, I
197, CALIFA197, IC2341, 125.92267608, 21.43487930, E, 6, E, 6, S, 0, A, A, A, I, I, I
198, CALIFA198, UGC04386, 126.00682830, 21.02717018, S, bc, S, ab, S, c, AB, A, AB, I, I, I
199, CALIFA199, IC2361, 126.43540954, 27.87456893, S, bc, S, a, S, d, A, A, AB, I, I, I
200, CALIFA200, UGC04405, 126.63701629, 23.19275474, S, ab, S, a, S, c, A, A, B, I, I, I
201, CALIFA201, NGC2592, 126.78354644, 25.97031593, E, 4, E, 1, S, 0, A, A, AB, I, I, I
202, CALIFA202, UGC04416, 126.81996917, 22.87757682, S, bc, S, b, S, d, B, B, B, I, I, I
203, CALIFA203, NGC2596, 126.86048889, 17.28407669, S, bc, S, b, S, bc, A, A, A, I, I, I
204, CALIFA204, NGC2595, 126.92509460, 21.47910118, S, c, S, bc, S, c, AB, A, B, I, I, M
205, CALIFA205, UGC04425, 127.05992889, 28.05731201, S, c, S, bc, S, d, B, B, B, I, I, I
206, CALIFA206, NGC2598, 127.51050567, 21.48864936, S, ab, S, a, S, b, AB, A, B, I, I, I
207, CALIFA207, UGC04464, 128.25083923, 26.01403045, S, c, S, bc, S, cd, B, B, B, I, I, I
208, CALIFA208, UGC04461, 128.34446716, 52.53226852, S, bc, S, b, S, cd, A, A, A, I, I, I
209, CALIFA209, NGC2604, 128.34640502, 29.53880882, S, d, S, cd, I, r, B, B, B, I, I, I
210, CALIFA210, UGC04468, 128.37818908, 41.52546691, E, 7, E, 5, S, 0, A, A, A, I, I, I
